company,mill_name,country,latitude,longitude,forest_2000_ha,loss_total_ha,loss_post2020_ha
ioi,PAMOL SABAH,Malaysia,6.002431,117.398389,25314.546382152792,19313.60501853843,2789.916613209339
ioi,GOMALI,Malaysia,2.611826,102.678656,24351.05709158057,22729.174241850087,4408.893368784718
ioi,PAMOL KLUANG,Malaysia,2.110445,103.392307,25180.290971326922,19446.91507777007,2041.104719321742
ioi,SAKILAN,Malaysia,5.839281,117.8437,25587.46830976925,14922.751830947698,4701.470249800867
ioi,BATURONG,Malaysia,4.7553,118.0886,28078.186983906275,20437.501584038782,3569.9802587558156
ioi,BUKIT LEELAU,Malaysia,3.30273,103.137889,29165.78752430342,21837.53778034126,3892.9396937231804
ioi,MAYVIN,Malaysia,5.5553,117.226439,24714.6524727057,14485.130301963138,6062.71089732409
ioi,PUKIN,Malaysia,2.72235,102.911,27119.7694223877,26046.43637959027,781.9670921346701
ioi,SYARIMO,Malaysia,5.334037,117.781334,24841.072845294555,22544.08415755477,12317.757444139772
ioi,LADANG SABAH,Malaysia,5.729989,117.57775,27612.76434353578,22716.022672878185,6245.563603089899
ioi,LEEPANG,Malaysia,5.549056,118.437595,26230.099732621373,15904.695339533462,9414.265494681013
ioi,MORISEM,Malaysia,5.493525,118.370047,26495.121629115707,19553.501225357533,7432.295814562846
ioi,UNICO,Malaysia,5.150056,118.222056,26312.19897741748,18810.35239386328,5023.929491021779
ioi,UNICO DESA,Malaysia,5.4130889,118.529333,28326.053142898545,19189.17890897723,4510.6002940225735
ioi,SUKSES KARYA SAWIT,Indonesia,-2.801034,110.59375,21292.051000874028,14324.884959860234,1191.9694611075363
